number,a_text
34,"契約者のニーズに合わせて必要な保障を自由に組み合わせることができる商品です
自由に組み合わせることができる商品として、「組立型の保険」と「利率変動型積立（終身）保険」があります。組立型の保険死亡保障や医療保障などの保障機能を持つ保険・特約を自由に組み合わせることができる商品です。生命保険会社によって、定期保険、医療保険、介護保険などの「複数の主契約を組み合わせる」タイプと定期保険特約、医療関係特約、介護特約などの「複数の特約だけで保障を組み合わせる」タイプがあります。取り扱う保障の種類や内容は生命保険会社によって異なります。契約後、必要に応じて新たな種類の主契約や特約を追加したり、今までの主契約や特約を別の種類に変更したりすることができます。保障の範囲や金額が大きくなる場合は新たに診査や告知が必要になり、保険料はその時の年齢・料率によって計算されます。組立型の保険のイメージ図利率変動型積立（終身）保険資金を積み立てる機能を持つ保険と、死亡保障や医療保障などの保障機能を持つ特約（保険）を自由に組み合わせることができる組み合わせ商品です。 積立部分が主契約となるため、名称は「利率変動型積立保険」または「利率変動型積立終身保険」ですが、「アカウント型」とも呼ばれています。 積立部分を活用することで、契約後の状況の変化に応じて柔軟に保障の見直しをしたり、払い込む保険料を調整したりすることができます。保障機能を組み合わせる仕組は組立型の保険と同様です。利率変動型積立（終身）保険のイメージ図資金を積み立てる機能保険料払込期間満了後はその時の積立金をもとにして、一定の金額の範囲で、その時の健康状態にかかわらず終身保険や年金などに移行できる商品もあります。適用される予定利率は市場の金利動向に応じて一定期間ごとに見直されて変動します。見直しの期間は「3年ごと」「毎年」「毎月」があり、生命保険会社によって異なります。積立金は毎月の保険料から積み立てるほか、一時金を投入することによって積み増すこともできます。積立金を必要に応じて引き出すこともできます。引き出す場合には、手数料がかかることもあります。保険料を変えずに保障内容を変更することができます。保険料は、積立部分と保障部分の保険料から成り立っていますので、保障を減らしてその分の保険料を積立部分に振り分けたり、保障を増やして積立部分への保険料を減らすこともできます。積立金がある程度蓄積されていれば、保障内容を変えずに、払い込む保険料の金額を減らしたり、保険料の払い込みを中止したりすることもできます。この場合、積立金を取り崩して保障部分の保険料に充当することになります。所定の期限までに保険料の払い込みがない場合は、積立金を取り崩して保険料に充当します。積立金が少ない状態で保険料の払い込みが期限に間に合わないと、契約の失効につながる可能性があります。"
35,"無選択型保険を取り扱う生命保険会社があります
いわゆる「無選択型」といわれる保険で、現在「終身保険」や「個人年金保険」などで取り扱われています。通常、生命保険を契約する際には、健康状態などに関する告知または医師による診査が必要ですが、この保険では告知や医師による診査は必要ありません。一般的な商品と比べて、次のような違いがあります。無選択型保険の特徴終身保険契約後2年間など一定期間内に病気により死亡した場合は、死亡保険金ではなく既に払い込んだ保険料相当額が受け取れます。なお、災害死亡の場合は、契約当初から死亡保険金が受け取れます。契約できる死亡保険金額は比較的少額で、契約できる年齢も、生命保険会社によって異なりますが、比較的高く設定している会社が多くなっています。また、保険料の払込期間を一生涯としている商品が多くなっています。医療関係の特約を付加することはできません。保障内容が同じで診査・告知などを必要とする保険よりも、保険料は割高となります。個人年金保険個人年金保険の場合、通常は保険料払込期間中に所定の高度障害状態などに該当すると以後の保険料払込みが免除となりますが、無選択型の個人年金保険では「保険料免除」の取扱いがありません。"
36,"契約時期によって影響が異なります
2010(平成22)年4月1日に「保険法」が施行されました。この法律の規定は、原則施行の日以降に契約した生命保険に適用されます。ただし、一部の規定は施行の日より前に締結した保険契約にも適用されます。2010(平成22)年4月以降に結んだ契約には、2010(平成22)年4月以降に主契約の更新を迎えた契約も含みます。実際は、法律にもとづいて改訂・作成された約款によって契約上の具体的な権利や義務が定まります。「保険法の概要」についてはこちら2010(平成22)年3月までに結んだ保険契約にも適用される主な事項保険金・給付金等の支払時期保険金・給付金などを請求した際に、生命保険会社は支払いに必要な事項の確認や、それに伴う特別な調査を行うことがあります。今回、約款には確認を必要とする具体的な場合ごとに、支払期限が明示されました。正当な理由なく期限後に支払われるときは、保険金などとあわせて一定の遅延利息が支払われます。重大事由による解除保険制度の健全な運営を維持するために、「保険金を得る目的で、故意に保険事故を起こした」などの重大な事由が生じた場合には、生命保険会社は保険契約を解除することができると保険法で規定されました。これまでも、生命保険会社の約款で「重大事由による解除」として定められていましたが、「保険法」の内容にそって、より明確なものになりました。保険金受取人による契約の存続契約者の債権者などが保険契約を差し押さえて、債権の回収を目的に保険契約の解約を生命保険会社へ請求することがあります（例えば、国が税金の滞納処分をするなど）。解約されると保険契約は消滅し、その後の遺族等の生活保障機能が失われることになります。このような場合、保険金受取人は契約者の同意を得て、1カ月以内（解約請求の通知が生命保険会社に到着した日の翌日から）に、解約返戻金相当額を債権者等へ支払うことによって、保険契約を存続させることができるようになりました。2010(平成22)年4月以降に結んだ保険契約に適用される主な事項保険料の返還について保険料の払込方法が「半年払・年払」の場合、2010(平成22)年3月以前の契約では、解約などで保険契約が消滅したときには、未経過分の保険料は返還されませんでした。2010(平成22)年4月以降の契約では、未経過の月数に対応する保険料相当額が契約者（保険金受け取りの場合は受取人）に返還されるようになりました。ただし、生命保険商品によっては、保険料相当額が返還されないものがあります。なお、「一時払」の契約については、保険料の返還はありません。「半年払・年払保険料の取扱い」についてはこちら遺言による保険金受取人の変更について契約時に定めた保険金受取人の変更方法については、｢遺言による方法」が加わりました。遺言で保険金受取人を変更する場合は、（1）契約者が被保険者の同意を得ていること、（2）法律上有効な遺言であることなどが必要です。生命保険会社に受取人変更の通知（遺言の場合、相続人が通知）が到着する前に、変更前の受取人に保険金が支払われた場合、そのあとに変更後の保険金受取人からの請求があっても保険金は支払われません。告知義務違反について生命保険を契約する際、契約者または被保険者は、保険金や給付金などの支払事由が発生する可能性に関する重要な事項のうち、書面または医師から口頭で求められた質問事項に対して告知する義務があります。故意または重大な過失で、このような事実を告知しないなどの場合には告知義務違反となり、生命保険会社はその契約を解除することができます。ただし、営業職員などが事実の告知をしないことや、事実でないことを告知するよう勧めた場合などには、生命保険会社は契約を解除できないことが定められました。被保険者からの契約者に対する解約の請求契約者と被保険者が異なる場合に、重大事由に該当するときや、契約者との離婚によって、被保険者が契約申込みの同意をした際の事情が大きく変わったときなどに、被保険者が契約者に対して解約するよう請求することができるようになりました。生命保険会社は、契約者あてに約款の改訂内容を送付したり、ホームページで公開するなどの対応をしています。また、2010（平成22）年4月以降に生命保険を契約する際の約款は、改訂後の内容になっています。取扱いや手続きは、生命保険会社や保険商品ごとの約款によって異なりますのでよく確認しましょう。"
37,"新旧生命保険会社名を一覧で確認できます
合併などによって社名が変更となり、保管している保険証券などに記載された生命保険会社名が現在見当たらない場合があります。（一社）生命保険協会のホームページでは、「生命保険会社の新旧会社名一覧」および「生命保険会社の変遷図」をご覧いただけます。契約内容の変更・問い合わせや保険金・給付金の請求手続きは、合併後・契約引き継ぎ後の生命保険会社に対して行うことができます。生命保険会社新旧社名一覧（生命保険協会のホームページ）（新規ウィンドウ表示）"
38,"銀行などの金融機関は生命保険会社の代理店として生命保険を窓口で販売しています
生命保険は、銀行や信用金庫など生命保険会社以外の金融機関の窓口でも販売されていることがあります。これが生命保険の「窓口販売」や「窓販」などといわれるものです。銀行などは保険代理店として保険加入者と生命保険会社の間をとりもつ（媒介する）だけです。銀行などで加入しても、実際に契約を引き受けるのは生命保険会社になりますので、生命保険会社の「保険商品」に加入することになります。銀行などが独自に取り扱う預金商品とは違いますので、契約前に内容をよく確認しましょう。生命保険と預貯金とで次のような相違点があります生命保険では所定の受取事由に該当したときに保険金や年金などを受け取れます。普通預金などのように「必要なときに必要額を自由に払い出せる」わけではありません。生命保険では、払い込んだ保険料の累計額よりも、解約時に受け取る解約返戻金が少ない場合があります。生命保険会社が破綻した場合、各契約について破綻時の責任準備金の原則90%までが保証されます(1,000万円までの元本とその利息が保護される預貯金とは仕組みが異なります)。死亡保険金には、遺族の生活を守る支えという意味合いで税制上の優遇措置があります。預貯金などの場合は相続財産として死亡時の残高が相続税の対象となります。"
39,"自己負担割合や限度額は人によって異なります
病気やケガで治療を受けたときの医療費については、すべて自己負担となるわけではありませんが、公的な医療保険制度を基本として、不足があれば準備しておくと、いざというとき安心です。公的医療保険による自己負担は、実際にかかった医療費の一部分です。具体的な自己負担は、下記のとおりです。公的医療保険の自己負担割合年齢や所得に応じて、自己負担割合が異なります。なお、子どもの医療費は市区町村ごとに「小学校卒業まで」「中学校卒業まで」など、自己負担部分に対する補助があります。詳細は各自治体の窓口などで確認しましょう。75歳以上の「一定以上所得のある人」は２割負担に2 割負担となる人には、2025（令和7）年9 月末までの間、外来医療（入院は対象外）の自己負担増加額を最大3,000 円／月までに抑える配慮措置が適用されます。高額療養費制度について医療費の一部を負担すればよいといっても、入院・手術などをしたときは自己負担が高額になることもあります。このような場合の負担が軽くなるよう、「高額療養費制度」があります。高額療養費制度についてはこちら"
40,"保険期間や保険料払込期間、保障内容などが主なポイントになります
医療保険を選ぶ際は、保険期間や保険料払込期間、入院給付金のタイプや給付内容などをよく検討して選ぶことが重要です。ポイントとして整理すると、次のようになります。医療保険を選ぶポイントポイント1：保険期間と保険料払込期間を選ぶ。保障が続く期間を保険期間といいます。保険期間には、10年、20年などの年数で決まる「年満了(更新)タイプ」70歳、80歳までなど年齢で決まる「歳満了タイプ」一生涯保障が続く「終身タイプ」があります。保険期間のタイプ定期型終身型年満了（更新）タイプ歳満了タイプ終身タイプ保険料更新ごとに高くなる払込満了まで一定保険料は一定（有期払・終身払がある）保険期間生命保険会社の定める年齢まで更新できる。80～90歳まで更新できるのが一般的。契約当初に定めた年齢。60～80歳までが多いが90歳、100歳満了タイプの会社もある。一生涯◆更新タイプの保険料は更新時に再計算されます。年齢が上がることなどによって、通常、更新ごとに保険料が高くなりますが、契約当初の保険料負担は抑えられます。歳満了タイプ、終身タイプの保険料は一定です。◆保険料の払い込みがいつまで続くのか、払込期間もポイントです。終身タイプの場合、保険料払込期間は「有期払」、「終身払」があります。「有期払」は何歳まで払い込むかを決めます。「終身払」は、保険料の払い込みが一生涯続きますが、月々の負担は「有期払」に比べて軽くなります。ポイント2：入院給付金のタイプから選ぶ。入院給付金は、入院1日につき10,000円などの日額を設定するものが一般的です。日額×入院日数分を受け取れるもののほか、タイプ①・②のようなものもあります。また、タイプ③のように日額ではなく一時金を設定するものもあります。◆支払対象となる入院（何日入院したら入院給付金が受け取れるか）入院給付金・入院一時金には、「日帰り入院型」と「1泊2日型」があります。「日帰り入院型」は、1日以上入院したとき、1日目から入院給付金が受け取れます。「1泊2日型」は継続して2日以上入院したとき、1日目から入院給付金が受け取れます。ポイント3：1入院の支払限度日数や通算の支払限度日数・支払限度回数などを選ぶ。「災害入院給付金」、「疾病入院給付金」、「入院一時金」などは一般的に給付金ごとに1入院での支払限度日数（回数）や保険期間中の通算支払限度日数（回数）が設けられており、その範囲内で受け取れます。日額で設定しているものは「災害入院給付金」、「疾病入院給付金」と分かれていますが、一時金で設定しているものは災害で入院しても、疾病で入院しても同じ給付金（入院一時金）となっているものが多くなっています。なお、通算支払日数（回数）は契約を更新しても引き継がれます。がんや三大疾病（がん・急性心筋梗塞・脳卒中）で入院した場合など特定の病気で入院した場合には、支払限度日数が延びるものや無制限になるものがあります。入院一時金について入院日数が短期化し、日帰り入院や短期入院も増えています。入院一時金は入院中だけでなく、入院前後の通院治療や入院することでかかる諸費用などにも備えられる保障です。ポイント4：さらに以下の内容についても検討する。特定の場合の保障を厚くするかどうか？生活習慣病（成人病）入院特約、女性疾病入院特約、がん入院特約、先進医療特約などの特約を付加することができる場合があります。主契約の給付内容に組み込まれている場合や、特約があらかじめセットされている場合もあります。解約返戻金の有無（無しの場合、保険料が安くなります）を決める。死亡保険金の有無（無しの場合、保険料が安くなります）を決める。手術給付金について手術給付金は医療保険の保障に組み込まれているのが一般的です。手術給付の対象となる手術は、以前は「88種類の所定の手術を対象とするタイプ」が一般的でしたが、最近は「公的医療保険制度の対象手術を保障するタイプ」が主流となっています。＜公的医療保険制度の対象手術を保障するタイプの例＞公的医療保険の対象となる手術（一部を除く）で、入院を伴う場合は入院給付金日額の20倍、入院を伴わない場合は5倍の給付金が受け取れる。＊給付倍率などは商品によって異なります。関連項目「Q.もし病気が再発してまた入院したら、入院給付金は受け取れるの？」「Q.手術したのに手術給付金が受け取れないのはなぜ？」"
41,"入院基本料などの支払いの有無により決められます
日帰り入院で入院給付金が受け取れる「医療保険」や「医療特約」がありますが、「通院」と「日帰り入院」はどう違うのでしょうか。「通院」とは、医師による治療が必要なため、外来や往診によって治療を受けることをいいます。一方、「日帰り入院」とは、入院基本料などの支払いが必要となる入院日と退院日が同一の入院をいいます。例えば、深夜3時頃緊急入院をしたが容態が落ち着いたため、その日の夕方に退院した場合などが該当します。「通院」か「日帰り入院」かは、一般的には、病院が発行する領収証に「入院料等」（★印）の診療報酬点数があるかどうかで確認できます。ただし、入院ではなく外来で手術したときに「入院料等」に診療報酬点数が記載されるケース等もありますので、詳細は病院に確認しましょう。"
42,"女性特有の病気などで入院した場合に給付金が受け取れます
取り扱っている生命保険会社によって保障内容は若干異なる場合がありますが、「女性疾病入院特約」は主に女性特有の病気、あるいは女性で発生率の高い所定の病気を中心に保障します。具体的には、子宮・乳房の病気や甲状腺の障害、がん、貧血、低血圧、胆石症、関節リウマチ、分娩の合併症などで入院した場合に、入院給付金を受け取れます。一般的には医療保険に付加したり、総合医療特約や疾病入院特約と一緒に付加したりします（手術給付金が受け取れる会社もあります）。"
43,"それぞれ対象となった疾病で入院した場合に入院給付金などが受け取れます
「生活習慣病（成人病）入院特約」、「がん入院特約」とも取り扱っている生命保険会社によって保障内容は若干異なる場合がありますが、主な保障内容は次のとおりです。生活習慣病（成人病）入院特約「がん」、「心疾患」、「脳血管疾患」、「高血圧性疾患」、「糖尿病」など所定の生活習慣病で入院したとき、入院給付金を受け取れます。一般的には医療保険に付加したり、総合医療特約や疾病入院特約と一緒に付加したりします（手術給付金が受け取れるものもあります）。生活習慣病特約は、①がん、②心疾患、③脳血管疾患、④高血圧性疾患、⑤糖尿病の5つを対象としているものが一般的ですが、七大生活習慣病（⑥肝疾患、⑦腎疾患）や八大生活習慣病（⑧膵疾患）を対象としているものもあります。がん入院特約「がん」で入院したとき、入院給付金を受け取れます。一般的には医療保険に付加したり、総合医療特約や疾病入院特約と一緒に付加したりします（手術給付金が受け取れるものもあります）。「がん特約」として、入院給付金のほか、手術給付金、がん診断給付金などが受け取れる特約を取り扱っている生命保険会社もあります。疾病入院給付金や生活習慣病（成人病）入院給付金には、1入院支払限度日数や通算支払限度日数がありますが、がん入院給付金は無制限のものが多くなっています（限度日数があるタイプもあります）。がん保険と同様に契約してから90日経過後に保障が開始されるものと、すぐに保障が開始されるものがあります。がんの種類によっては一部対象とならないものもありますので、「ご契約のしおり－（定款）・約款」などでよく確認する必要があります。複数の特約を同時に付加している場合の給付複数の特約を同時に付加している場合、それぞれの給付に該当した場合は、それぞれの特約から給付金を受け取れます。＜例＞医療保険（災害・疾病入院給付金　日額5,000円）に次の特約を付加生活習慣病（成人病）入院特約がん入院特約（日額　5,000円）（日額　5,000円）がん、心疾患、脳血管疾患、高血圧性疾患、糖尿病で入院した場合は、「疾病入院給付金」「生活習慣病（成人病）入院給付金」が受け取れますので、合計で日額10,000円を受け取ることができます。がんで入院した場合は、「疾病入院給付金」「生活習慣病（成人病）入院給付金」「がん入院給付金」が受け取れますので、合計で日額15,000円を受け取ることができます。"
44,"がん、急性心筋梗塞、脳卒中の三大疾病で所定の状態になったときなどが給付対象です
取り扱っている生命保険会社によって保障内容は若干異なりますが、一般的には保険の対象者である被保険者が死亡したとき、高度障害状態になったとき、または特定疾病（「がん」「急性心筋梗塞」「脳卒中」）により所定の状態などになったときに保険金が受け取れます。なお、いずれかの原因で保険金を受け取ると契約は消滅します。例えば「がん」で保険金を受け取った後に死亡した場合、重ねて保険金を受け取ることはできません。特定疾病の所定の状態などを詳述すると、一般的には以下のとおりになります。生命保険会社によってその取扱いは若干異なりますので注意が必要です。がん（悪性新生物）がんの保障開始後に初めてがんにかかったと医師によって診断確定されたとき（上皮内がん・皮膚がんは除く。ただし、皮膚の悪性黒色腫は対象）。なお、一般的に契約してから90日以内のがん（または乳がん）については保障の対象外。急性心筋梗塞契約後に急性心筋梗塞になり、医師の診療を受けた初診日から60日以上労働が制限される状態※が継続したと医師によって診断されたとき（狭心症などは含まない）。急性心筋梗塞の治療のための手術を受けたとき。※軽い家事などの軽労働や事務などの座業はできるが、それ以上の活動では制限を必要とする状態。脳卒中（くも膜下出血・脳内出血・脳梗塞）契約後に脳卒中になり、医師の診療を受けた初診日から60日以上、言語障害・運動失調・まひなどの神経学的後遺症が継続したと医師によって診断されたとき。脳卒中の治療のための手術を受けたとき。特定疾病保障特約についてがん・急性心筋梗塞・脳卒中により所定の状態に該当したとき、保険金や給付金を受け取れます。回数無制限で受け取れるもの（1 〜 2 年に 1 回を限度）、通算支払限度回数が 5 回・10 回などのもの（1 年に 1 回が限度）、支払事由ごとにそれぞれ 1 回ずつ受け取れるものなどがあります。特定疾病ではない理由で死亡・高度障害になったとき、特定疾病保険金額と同額の死亡・高度障害保険金を受け取れるものもあり、その場合はいずれかの保険金を受け取った時点で特約は消滅します。"
45,"告知項目が3～5項目程度に限定された保険です
「限定告知型保険」「引受基準緩和型保険」「選択緩和型保険」などと呼ばれており、従来の告知・診査を必要とする医療保険に契約できなかった人も、所定の告知項目に該当しなければ一般的に契約できる医療保険です。主な告知項目は下記のとおりで、１つも該当が無ければ原則として契約できます（生命保険会社により、告知項目が異なります）。健康状態に関する告知項目の例過去2年以内に入院・手術をしたことがある過去5年以内にがんで入院・手術をしたことがある今後3カ月以内に入院・手術の予定がある現時点でがん・肝硬変と医師に診断または疑いがあると指摘されている現在までに公的介護保険の要介護認定を受けたことがある終身タイプ・契約後1年間は給付が半額になるタイプ※の例※契約後1年間は、給付金額が半額になるなど保障内容に制約があるものがあります。契約前からかかっていた病気の悪化や、治療歴のある病気の再発・悪化も支払いの対象となります。ただし、契約前に医師から勧められている入院・手術は支払い対象外です。通常の医療保険に比べて保険料が割高です。健康状態に不安がある場合でも、まずは通常の医療保険に契約できるかを確認してみましょう。既往症が悪化して入院・手術給付金が支払われる例契約前契約後糖尿病のため通院でインスリン治療中糖尿病が悪化し糖尿病性網膜症で入院・手術をした場合関連項目「Q.健康状態に問題があると、生命保険は契約できないの？」"
46,"入院時の支払限度日数や、給付額、保障内容など様々です
医療保険については、「日帰り（0泊1日）」や「1泊2日」など短期の入院で給付金が受け取れるものが多くなっています。給付額については、1日だけの入院でも5日分などの入院給付金を受け取れるものや、入院給付金とは別に上乗せで一時金が受け取れるもの、日額の給付はなく一時金のみを受け取れるものなどがあります。また、入院給付金には1入院支払限度日数や通算支払限度日数がありますが、特定の病気で入院した場合、支払限度日数が延びたり無制限になったりするものなどもあります。医療保障商品の多様化が進むなか、特徴的なものとして、健康に関する取組みなどで保険料に影響があるものや、認知症を保障するものなど以下のようなものがあります。関連項目「Ｑ.医療保険を選ぶときのポイントは？」"
47,"入院途中でもそれまでの入院期間分の入院給付金を請求できます
入院給付金は、入院途中でもいったんそこまでの入院期間に相当する入院給付金を請求することができます。この場合は、退院後に残りの入院給付金を請求することになります。ただし、その都度必要書類の提出が必要になり、診断書も通常有料（5,000円～10,000円程度）になるため、まとめて請求した方が少ない費用で済むという面もあります。入院途中に請求した場合、その後の入院期間分の入院給付金などについて請求もれが生じないよう留意しましょう。すべての入院で診断書が必要となると、入院期間が短ければ、受け取る入院給付金に対して診断書代が割高です。そのため、所定の条件をすべて満たす場合には診断書の添付を不要としている生命保険会社が多くなっています。診断書の提出が不要になる条件の例入院日数が30日以下や、給付金額が10万円以下などであること契約後2年以上経過していること（2年未満は条件付で可能な場合もある）手術給付金を受け取る手術を受けていないこと入院日から退院日までの記載のある医療費領収証やそのコピーを添付すること　　など上記の条件は生命保険会社によって異なるので、確認しましょう。診断書を提出のうえ請求したにもかかわらず、全く保険金・給付金の支払い対象とならなかった場合には、診断書取得費用相当額を支払う取扱いを行っている生命保険会社もあります。関連項目「Q.入院給付金を請求するとき、どんな手続きがいるの？」"
48,"1入院支払限度日数と通算支払限度日数の範囲で受け取れます
医療保険、医療関係特約ともに、同じ病気を原因として再入院した場合は、一般的に前回の入院とあわせて「継続した1回の入院」として扱われます。入院給付金を受け取れるのは、前後の入院を合わせて1入院の支払限度日数までです。ただし、前回入院の退院日の翌日から一般的に180日を経過して再入院した場合は、別入院（新たな入院）として扱われます。異なる病気で入院した場合前回の退院日の翌日から180日以内に「異なる病気＊」で入院した場合は、「別入院」として扱われる商品「継続した1回の入院」として扱われる商品があります。2 の場合は、病気の種類を問わず180日以内の再入院は「継続した1回の入院」となります。上記の図の例であれば、1.「別入院」の場合は、それぞれ1入院支払限度日数内のため40日＋30日の合計で70日分の入院給付金が受け取れます。2.「継続した1回の入院」の場合は、1入院支払限度日数の60日分の入院給付金が受け取れます。＊病名が異なっていても、医学上関連があれば同じ病気とみなされる場合があります。入院給付金を一時金で受け取るタイプの商品日額の給付はなく、一時金のみを受け取れるタイプのものがあります。給付限度は1入院に1回とするものや、経過日数に応じて複数回（例えば入院1日目、30日目、60日目、90日目など）受け取れるものなどがあります。日額の給付がある商品では、一般的に災害入院給付金・疾病入院給付金があり、それぞれに1入院支払限度日数や通算支払限度日数がありますが、一時金タイプの商品では「入院給付金（一時金）」などとして一本化しているものが一般的です。通算支払限度回数は生命保険会社や商品によって異なりますが、50回・100回などとなっています。一時金タイプの商品でも、再入院した場合1入院とみなされることがあります。生命保険会社や商品によって異なりますが、入院給付金の支払対象となった入院の退院日の翌日から60日以内・180日以内の入院などとなっています。なお、一般的にケガや病気など入院の原因にかかわらず1入院とみなします。"
49,"まず生命保険会社に連絡し、必要書類を整え、提出してください
生命保険会社では、連絡がない限り被保険者が入院・手術を受けた事実を把握できません。このため、被保険者が入院・手術をした場合は、加入している生命保険会社の担当者、営業所・支社、サービスセンター・コールセンターなどに、できるだけ早く連絡することが必要です。生命保険会社のホームページから、給付金の請求書類の請求や請求手続き自体をオンラインで完結できる場合があります。生命保険会社によって取扱いが異なるため、詳細は各生命保険会社のホームページなどをご確認ください。入院・手術給付金は受取人本人の請求によって支払われます。一般的に、入院・手術給付金の受取人は被保険者となっています。「指定代理請求人」などの代理人が指定されている場合は、代理人が請求できることもあります。入院給付金を請求する際の一般的な手順生命保険会社へ連絡する証券番号被保険者（保険の対象者）の氏名入院日などを知らせることで、生命保険会社の手続きがスムーズに運びます。加入している医療保険・特約によっては、支払い対象外となる場合があるため、連絡時には正式な「病名・入院日・退院（予定日）・手術日・手術名」などについても、可能な限りに伝えることが大切です。生命保険会社へ必要書類を提出する連絡を受けると、生命保険会社から請求に必要な書類「請求書・生命保険会社所定の診断書など（会社によって異なる）」の案内が届きますので、それに従って必要書類を整え、生命保険会社へ提出します。診断書は原則として生命保険会社所定のものを使用します。入院日数や支払われる入院給付金の合計額などに応じて診断書の添付を不要とする生命保険会社もあります。診断書の提出が不要になる条件の例はこちら生命保険会社による支払いの可否判断、給付金受取生命保険会社では書類をチェックし、支払対象かどうかを判断します。支払の対象と判断された場合、給付金を受け取れます。なお、生命保険会社は約款に「原則的な場合」「確認が必要な場合」等に分けて保険金・給付金の支払期限を定めています。支払期限経過後に支払われる場合はあわせて遅延利息を支払います。給付金の請求権の時効は、約款で一般的に3年と定められています。＜受取りの内容・金額の明細確認＞給付金などは受取人指定の金融機関口座に振り込まれます。生命保険会社から給付金など受け取りの内容・金額の明細書が送付されますので、内容を確認しましょう。関連項目「Q.入院していても、入院給付金などを請求できるの？」「Q.指定代理請求制度って、どんな制度なの？」"
50,"保障が始まる前の病気やけがによる手術、治療を目的としていない手術などは給付の対象外です
医療保険や、手術保障のある特約を付加した生命保険を契約していると、どんな手術をしても手術給付金を受け取れると考える人がいるかもしれません。しかし、それは違います。例えば、保険による保障が始まる前（責任開始期前）に発生していた病気やケガを原因として責任開始後に行った手術は、原則として給付の対象外です。また、次のような場合も給付の対象外となり、手術給付金を受け取れません。治療を目的としていない手術を受けた場合例えば、美容整形、病気が直接の原因でない不妊手術は、治療を直接の目的としていないため、一般的には手術給付金を受け取れる手術には当てはまりません。診断や検査（生検や腹腔鏡検査など）のための手術も同様です。約款に記載されていない手術を受けた場合手術給付金を受け取れるのは、治療を直接の目的として、約款に記載されている手術をした場合です。給付の対象になる手術は、契約している生命保険会社や商品、契約した時期によって異なることがあります。最近は、公的医療保険対象の手術を手術給付金の対象とするタイプが増えてきています。＜公的医療保険対象の手術を対象とする商品の例＞疾病または傷害の治療を目的とし、以下の条件に合致する手術・放射線治療が対象・公的医療保険制度における「医科診療報酬点数表」に「手術料」の算定対象として列挙されている手術・公的医療保険制度における「医科診療報酬点数表」に「放射線治療料」の算定対象として列挙されている放射線治療※入院中に受けた手術：　入院給付金日額の10倍上記以外の手術　　：　入院給付金日額の5倍放射線治療　　　　：　入院給付金日額の10倍一般的に創傷処理や抜歯手術などの軽微な手術を除外していますが、除外の対象となる手術は生命保険会社により異なるため、契約している生命保険商品の約款を確認しましょう。※放射線治療について放射線治療は医科診療報酬点数表で放射線治療料の算定対象となるため、一般的に「手術給付金」ではなく、「放射線治療給付金」として受け取れます。商品によっては手術給付金として受け取れるものもあります。また、約款のなかで「別表」として88種類の手術が列記されている場合もあります。手術の種類に応じた金額（入院給付金日額に対する倍率）も併せて列記され ています。＜88種類の所定の手術を対象とする商品の例＞帝王切開娩出術　　　：入院給付金日額の10倍甲状腺手術　　　　　：入院給付金日額の20倍胃切除術　　　　　　：入院給付金日額の40倍新生物根治放射線照射：入院給付金日額の10倍…など88種類の手術について列記関連項目「Q.医療保険を選ぶときのポイントは？」"
51,"原則80歳まで継続することができます
終身保険（主契約）の保険料払込期間は60歳、65歳までなど契約時に決めて契約します。例えば、60歳払込満了として契約した場合、終身保険部分の保険料は60歳で払込みが終了します。ただし、付加している特約部分の保険料は60歳までの分の払込みとなっているのが一般的です。そのため、災害入院特約や疾病入院特約など医療特約の継続を希望する場合には、通常、主契約の保険料払込満了時に特約の保険料を一括して前納、もしくは分割払（複数年前納、年払等）により払い込む必要があります。なお、特約の全期間の保険料を主契約の保険料払込期間に合わせて払い込むように計算している商品もあります。その場合、主契約保険料払込満了後の特約保険料の払込みは必要ありません。終身保険や個人年金保険の終身年金に医療特約等を付加した場合は、原則80歳まで（生命保険会社によっては一生涯）継続することができます。※一括前納する特約保険料はまとまった金額となりますので、事前に目安額を確認して、準備しておきましょう。※特約保険料の払込みが所定の期限に間に合わないと、特約の保障は消滅し、元に戻すことができないという取扱いがありますので、注意が必要です。"
